-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Latitude  -7.55   Longitude 109.67 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 220.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M
2024,1,1,0,0.0,25.17,96.57,2.21
2024,1,1,1,0.0,25.12,96.36,2.23
2024,1,1,2,0.0,25.05,96.29,2.2
2024,1,1,3,0.0,24.98,96.15,2.12
2024,1,1,4,0.0,24.89,96.11,2.01
2024,1,1,5,6.88,24.88,96.04,1.86
2024,1,1,6,101.12,25.95,93.43,2.05
2024,1,1,7,283.17,26.88,88.68,2.77
2024,1,1,8,473.83,27.87,83.23,3.15
2024,1,1,9,662.58,28.84,77.85,3.0
2024,1,1,10,758.7,29.48,74.65,2.87
2024,1,1,11,810.0,29.78,73.17,2.81
2024,1,1,12,731.8,29.9,72.75,2.72
2024,1,1,13,632.62,29.81,73.29,2.64
2024,1,1,14,509.15,29.55,74.69,2.59
2024,1,1,15,315.38,29.15,77.01,2.51
2024,1,1,16,153.25,28.57,81.67,2.13
2024,1,1,17,34.85,27.65,87.01,1.82
2024,1,1,18,0.0,26.7,92.93,1.56
2024,1,1,19,0.0,26.38,93.87,1.56
2024,1,1,20,0.0,26.13,94.44,1.51
2024,1,1,21,0.0,25.94,94.77,1.42
2024,1,1,22,0.0,25.79,94.61,1.31
2024,1,1,23,0.0,25.62,94.52,1.21
2024,1,2,0,0.0,25.37,95.12,1.2
2024,1,2,1,0.0,25.14,96.04,1.29
2024,1,2,2,0.0,24.97,96.46,1.37
2024,1,2,3,0.0,24.79,97.06,1.5
2024,1,2,4,0.0,24.63,97.55,1.61
2024,1,2,5,5.62,24.58,97.78,1.71
2024,1,2,6,87.75,25.58,95.62,1.92
2024,1,2,7,238.0,26.41,92.17,2.85
2024,1,2,8,403.0,27.14,88.72,3.25
2024,1,2,9,517.83,27.82,84.96,3.3
2024,1,2,10,652.62,28.3,82.01,3.08
2024,1,2,11,744.3,28.54,80.59,2.77
2024,1,2,12,770.35,28.74,79.29,2.64
2024,1,2,13,662.92,28.74,78.72,2.46
2024,1,2,14,546.03,28.61,78.89,2.17
2024,1,2,15,370.73,28.38,80.19,1.85
2024,1,2,16,184.23,27.9,84.13,1.49
2024,1,2,17,40.6,27.08,90.07,1.3
2024,1,2,18,0.0,26.3,91.66,1.38
2024,1,2,19,0.0,26.05,92.03,1.33
2024,1,2,20,0.0,25.9,92.02,1.24
2024,1,2,21,0.0,25.8,91.69,1.11
2024,1,2,22,0.0,25.73,91.22,0.95
2024,1,2,23,0.0,25.68,90.91,0.65
2024,1,3,0,0.0,25.59,91.31,0.33
2024,1,3,1,0.0,25.36,92.71,0.37
2024,1,3,2,0.0,25.22,93.59,0.38
2024,1,3,3,0.0,25.22,92.62,0.33
2024,1,3,4,0.0,25.16,93.07,0.42
2024,1,3,5,3.4,24.96,94.71,0.65
2024,1,3,6,99.0,25.73,94.28,0.86
2024,1,3,7,238.27,26.7,89.74,1.29
2024,1,3,8,394.4,27.46,86.51,1.7
2024,1,3,9,629.92,28.35,82.04,2.11
2024,1,3,10,734.2,29.02,77.91,2.32
2024,1,3,11,741.38,29.54,75.15,2.37
2024,1,3,12,672.53,29.97,72.68,2.33
2024,1,3,13,569.45,30.18,71.12,2.25
2024,1,3,14,147.12,29.7,73.6,1.96
2024,1,3,15,56.9,29.02,77.55,1.75
2024,1,3,16,31.2,28.25,83.17,1.25
2024,1,3,17,7.55,27.32,87.81,1.06
2024,1,3,18,0.0,26.44,92.81,0.7
2024,1,3,19,0.0,26.19,91.06,0.56
2024,1,3,20,0.0,26.12,89.27,0.26
2024,1,3,21,0.0,25.86,92.27,0.3
2024,1,3,22,0.0,25.49,91.93,0.48
2024,1,3,23,0.0,25.02,93.93,0.57
2024,1,4,0,0.0,24.69,95.5,0.75
2024,1,4,1,0.0,24.6,95.73,0.8
2024,1,4,2,0.0,24.58,95.39,0.73
2024,1,4,3,0.0,24.62,94.69,0.48
2024,1,4,4,0.0,24.75,93.12,0.12
2024,1,4,5,5.78,24.42,94.85,0.83
2024,1,4,6,101.05,25.16,94.36,1.2
2024,1,4,7,263.35,26.26,86.83,1.4
2024,1,4,8,437.0,26.91,80.14,1.62
2024,1,4,9,586.8,27.53,76.6,1.74
2024,1,4,10,651.92,28.17,73.75,1.6
2024,1,4,11,589.45,28.6,71.84,1.4
2024,1,4,12,535.28,28.64,71.77,1.2
2024,1,4,13,449.73,28.37,73.64,0.95
2024,1,4,14,183.9,27.84,77.0,0.79
2024,1,4,15,82.72,27.25,80.72,0.68
2024,1,4,16,42.35,26.62,86.06,0.71
2024,1,4,17,10.05,25.95,89.4,1.02
2024,1,4,18,0.0,25.27,94.94,0.92
2024,1,4,19,0.0,24.92,95.45,1.1
2024,1,4,20,0.0,24.61,95.69,1.28
2024,1,4,21,0.0,24.34,95.94,1.35
2024,1,4,22,0.0,24.05,96.41,1.32
2024,1,4,23,0.0,23.79,96.84,1.27
2024,1,5,0,0.0,23.53,97.05,1.29
2024,1,5,1,0.0,23.41,97.06,1.21
2024,1,5,2,0.0,23.52,96.15,0.98
2024,1,5,3,0.0,23.67,95.15,0.74
2024,1,5,4,0.0,23.8,94.39,0.55
2024,1,5,5,5.45,24.01,94.14,0.28
2024,1,5,6,91.35,24.75,92.47,0.23
2024,1,5,7,250.85,26.8,79.1,0.91
2024,1,5,8,420.48,28.15,73.01,1.47
2024,1,5,9,569.2,29.51,67.64,1.86
2024,1,5,10,631.92,30.59,63.89,1.9
2024,1,5,11,624.9,31.08,61.99,1.8
2024,1,5,12,645.83,31.11,62.15,1.84
2024,1,5,13,574.5,30.8,63.67,2.1
2024,1,5,14,455.95,29.97,67.69,2.64
2024,1,5,15,158.85,28.98,73.61,3.22
2024,1,5,16,85.43,27.89,80.26,3.52
2024,1,5,17,20.33,26.67,88.62,2.93
2024,1,5,18,0.0,25.88,93.75,2.48
2024,1,5,19,0.0,25.65,95.19,2.42
2024,1,5,20,0.0,25.5,95.97,2.32
2024,1,5,21,0.0,25.36,96.33,2.24
2024,1,5,22,0.0,25.23,96.46,2.14
2024,1,5,23,0.0,25.04,96.48,2.01
2024,1,6,0,0.0,24.82,96.45,1.84
2024,1,6,1,0.0,24.66,96.3,1.68
2024,1,6,2,0.0,24.53,96.25,1.55
2024,1,6,3,0.0,24.39,96.32,1.52
2024,1,6,4,0.0,24.22,96.5,1.51
2024,1,6,5,6.55,24.11,96.6,1.51
2024,1,6,6,132.1,25.36,93.0,1.96
2024,1,6,7,350.05,26.42,87.86,2.37
2024,1,6,8,568.03,27.56,82.27,2.15
2024,1,6,9,709.55,28.5,77.4,1.68
2024,1,6,10,770.38,29.13,74.18,1.34
2024,1,6,11,728.9,29.58,72.02,1.31
2024,1,6,12,648.42,29.69,71.25,1.64
2024,1,6,13,511.55,29.17,74.02,2.19
2024,1,6,14,137.43,28.42,78.24,2.63
2024,1,6,15,46.95,27.67,82.74,2.96
2024,1,6,16,28.58,26.92,87.35,3.02
2024,1,6,17,9.12,26.2,92.17,2.53
2024,1,6,18,0.0,25.8,94.6,2.32
2024,1,6,19,0.0,25.66,95.2,2.4
2024,1,6,20,0.0,25.53,95.68,2.42
2024,1,6,21,0.0,25.39,95.87,2.51
2024,1,6,22,0.0,25.26,95.92,2.59
2024,1,6,23,0.0,25.1,96.17,2.46
2024,1,7,0,0.0,24.82,96.57,2.4
2024,1,7,1,0.0,24.67,96.61,2.74
2024,1,7,2,0.0,24.65,96.08,3.41
2024,1,7,3,0.0,24.47,95.23,4.06
2024,1,7,4,0.0,24.05,95.16,3.42
2024,1,7,5,5.7,23.73,95.83,2.51
2024,1,7,6,98.28,24.16,95.08,2.58
2024,1,7,7,262.02,24.77,92.88,2.97
2024,1,7,8,445.88,25.46,89.42,3.19
2024,1,7,9,527.88,26.36,85.59,2.97
2024,1,7,10,628.78,27.4,81.78,2.37
2024,1,7,11,583.55,28.21,78.85,1.87
2024,1,7,12,341.7,28.45,78.29,1.7
2024,1,7,13,216.73,28.21,80.01,1.75
2024,1,7,14,112.75,27.67,82.91,1.69
2024,1,7,15,103.2,27.07,86.1,1.47
2024,1,7,16,57.97,26.46,89.81,1.15
2024,1,7,17,14.82,25.87,93.46,0.81
2024,1,7,18,0.0,25.48,95.91,0.6
2024,1,7,19,0.0,25.25,96.21,0.76
2024,1,7,20,0.0,24.99,95.78,1.1
2024,1,7,21,0.0,24.55,95.88,1.33
2024,1,7,22,0.0,24.15,96.23,1.48
2024,1,7,23,0.0,23.83,96.89,1.45
2024,1,8,0,0.0,23.62,97.22,1.24
2024,1,8,1,0.0,23.51,96.97,1.04
2024,1,8,2,0.0,23.36,96.79,1.04
2024,1,8,3,0.0,23.19,97.01,1.12
2024,1,8,4,0.0,23.08,97.21,1.19
2024,1,8,5,5.65,23.2,97.21,1.21
2024,1,8,6,109.62,24.65,92.61,1.84
2024,1,8,7,297.48,26.38,86.27,2.13
2024,1,8,8,495.23,27.94,79.63,2.46
2024,1,8,9,590.58,29.12,74.15,2.79
2024,1,8,10,593.92,29.83,70.59,3.02
2024,1,8,11,585.75,30.39,67.6,3.16
2024,1,8,12,525.83,30.75,65.38,3.28
2024,1,8,13,399.05,30.34,66.83,3.29
2024,1,8,14,267.23,29.83,69.21,3.28
2024,1,8,15,174.85,29.19,71.93,3.07
2024,1,8,16,88.53,28.22,77.18,2.59
2024,1,8,17,22.0,26.92,85.42,1.89
2024,1,8,18,0.0,25.88,91.36,1.48
2024,1,8,19,0.0,25.38,92.79,1.42
2024,1,8,20,0.0,24.93,93.97,1.34
2024,1,8,21,0.0,24.58,94.7,1.23
2024,1,8,22,0.0,24.21,94.94,1.15
2024,1,8,23,0.0,23.94,94.85,1.04
2024,1,9,0,0.0,23.71,94.76,0.96
2024,1,9,1,0.0,23.5,95.04,0.89
2024,1,9,2,0.0,23.32,95.2,0.87
2024,1,9,3,0.0,23.1,95.82,0.94
2024,1,9,4,0.0,22.91,96.37,1.04
2024,1,9,5,4.68,22.86,96.71,1.08
2024,1,9,6,103.78,23.86,93.15,1.46
2024,1,9,7,295.88,25.23,86.52,1.35
2024,1,9,8,513.97,26.86,78.18,1.06
2024,1,9,9,639.92,28.34,71.27,0.84
2024,1,9,10,687.05,29.49,66.59,0.91
2024,1,9,11,640.6,30.37,64.12,1.18
2024,1,9,12,589.38,30.77,63.56,1.61
2024,1,9,13,496.17,30.7,64.64,2.06
2024,1,9,14,353.7,30.03,67.62,2.46
2024,1,9,15,144.65,29.11,72.68,2.97
2024,1,9,16,56.6,28.01,79.34,3.32
2024,1,9,17,11.07,26.76,88.0,2.75
2024,1,9,18,0.0,25.99,93.21,2.18
2024,1,9,19,0.0,25.75,94.81,1.83
2024,1,9,20,0.0,25.61,95.53,1.49
2024,1,9,21,0.0,25.59,94.97,1.19
2024,1,9,22,0.0,25.49,95.05,1.03
2024,1,9,23,0.0,25.27,95.91,1.02
2024,1,10,0,0.0,25.08,96.65,1.05
2024,1,10,1,0.0,24.97,96.85,1.1
2024,1,10,2,0.0,24.89,96.89,1.18
2024,1,10,3,0.0,24.8,97.08,1.29
2024,1,10,4,0.0,24.71,97.17,1.37
2024,1,10,5,4.78,24.73,97.22,1.44
2024,1,10,6,90.32,25.59,94.76,2.05
2024,1,10,7,249.52,26.45,91.08,2.57
2024,1,10,8,425.45,27.44,85.89,2.71
2024,1,10,9,558.88,28.27,81.25,2.79
2024,1,10,10,697.65,28.77,78.66,2.9
2024,1,10,11,768.2,28.77,78.75,2.98
2024,1,10,12,727.83,28.62,79.7,3.08
2024,1,10,13,591.92,28.36,81.07,3.23
2024,1,10,14,371.12,28.01,82.79,3.34
2024,1,10,15,72.12,27.58,84.9,3.33
2024,1,10,16,40.72,27.01,88.13,3.22
2024,1,10,17,10.9,26.28,92.49,2.64
2024,1,10,18,0.0,25.74,94.76,2.62
2024,1,10,19,0.0,25.56,95.37,2.88
2024,1,10,20,0.0,25.44,95.63,3.04
2024,1,10,21,0.0,25.27,95.68,3.24
2024,1,10,22,0.0,25.08,96.0,3.1
2024,1,10,23,0.0,25.0,96.1,2.89
2024,1,11,0,0.0,24.75,96.7,2.45
2024,1,11,1,0.0,24.61,97.03,2.31
2024,1,11,2,0.0,24.58,96.67,2.45
2024,1,11,3,0.0,24.43,96.75,2.18
2024,1,11,4,0.0,24.38,96.66,2.02
2024,1,11,5,4.32,24.41,96.58,1.96
2024,1,11,6,93.0,25.01,94.91,2.42
2024,1,11,7,264.98,25.63,92.71,2.89
2024,1,11,8,454.33,26.56,89.77,3.17
2024,1,11,9,630.58,27.27,87.02,3.14
2024,1,11,10,713.45,27.88,83.8,2.96
2024,1,11,11,747.9,28.64,79.97,2.81
2024,1,11,12,670.2,29.04,77.45,2.71
2024,1,11,13,490.6,28.93,77.55,2.76
2024,1,11,14,102.07,28.55,79.17,2.98
2024,1,11,15,54.42,27.89,82.41,3.11
2024,1,11,16,32.08,27.1,86.99,2.94
2024,1,11,17,8.8,26.24,92.37,2.31
2024,1,11,18,0.0,25.59,95.26,2.0
2024,1,11,19,0.0,25.36,95.73,2.0
2024,1,11,20,0.0,25.18,96.04,2.0
2024,1,11,21,0.0,24.95,96.3,1.98
2024,1,11,22,0.0,24.56,96.77,1.93
2024,1,11,23,0.0,24.35,97.15,1.83
2024,1,12,0,0.0,24.25,97.25,1.81
2024,1,12,1,0.0,24.15,97.36,1.81
2024,1,12,2,0.0,24.03,97.37,1.8
2024,1,12,3,0.0,23.89,97.38,1.79
2024,1,12,4,0.0,23.73,97.53,1.82
2024,1,12,5,4.3,23.77,97.27,1.85
2024,1,12,6,103.0,25.03,93.45,2.69
2024,1,12,7,290.38,26.03,87.97,3.29
2024,1,12,8,494.45,27.2,81.0,3.48
2024,1,12,9,638.4,28.11,76.1,3.52
2024,1,12,10,751.05,28.8,73.0,3.59
2024,1,12,11,807.08,29.02,71.53,3.7
2024,1,12,12,817.6,29.29,70.25,3.95
2024,1,12,13,717.38,29.19,69.89,4.24
2024,1,12,14,563.83,28.91,70.11,4.47
2024,1,12,15,383.7,28.2,72.38,4.57
2024,1,12,16,195.98,27.29,76.12,4.39
2024,1,12,17,48.3,25.87,84.07,3.2
2024,1,12,18,0.0,24.79,89.62,2.49
2024,1,12,19,0.0,24.52,90.33,2.33
2024,1,12,20,0.0,24.26,91.25,2.2
2024,1,12,21,0.0,23.98,92.37,2.11
2024,1,12,22,0.0,23.76,93.0,2.12
2024,1,12,23,0.0,23.63,93.31,2.11
2024,1,13,0,0.0,23.52,93.55,2.12
2024,1,13,1,0.0,23.43,93.9,2.12
2024,1,13,2,0.0,23.3,94.24,2.16
2024,1,13,3,0.0,23.15,94.45,2.23
2024,1,13,4,0.0,23.03,95.01,2.24
2024,1,13,5,4.47,23.08,95.22,2.18
2024,1,13,6,77.78,25.07,88.16,2.61
2024,1,13,7,224.68,26.54,79.41,3.33
2024,1,13,8,400.15,27.87,74.67,3.38
2024,1,13,9,578.08,29.05,71.32,3.4
2024,1,13,10,654.0,29.93,68.45,3.55
2024,1,13,11,667.35,30.47,66.44,3.75
2024,1,13,12,687.6,30.69,65.25,3.94
2024,1,13,13,663.83,30.61,64.72,4.08
2024,1,13,14,552.5,30.14,65.83,4.25
2024,1,13,15,466.6,29.42,67.75,4.3
2024,1,13,16,237.98,28.32,72.12,4.32
2024,1,13,17,54.58,26.6,82.04,3.73
2024,1,13,18,0.0,25.22,90.27,2.96
2024,1,13,19,0.0,24.78,92.84,2.71
2024,1,13,20,0.0,24.54,94.28,2.39
2024,1,13,21,0.0,24.38,94.9,2.17
2024,1,13,22,0.0,24.15,95.65,1.97
2024,1,13,23,0.0,23.89,96.27,1.9
2024,1,14,0,0.0,23.67,97.16,1.88
2024,1,14,1,0.0,23.64,97.23,1.86
2024,1,14,2,0.0,23.59,97.24,1.85
2024,1,14,3,0.0,23.49,97.46,1.84
2024,1,14,4,0.0,23.36,97.76,1.82
2024,1,14,5,3.9,23.33,97.72,1.76
2024,1,14,6,103.78,25.03,91.67,2.26
2024,1,14,7,297.48,26.33,83.87,2.68
2024,1,14,8,502.7,27.68,76.86,2.7
2024,1,14,9,669.85,29.02,70.8,2.77
2024,1,14,10,789.2,29.96,67.4,2.96
2024,1,14,11,820.67,30.66,65.16,3.14
2024,1,14,12,801.1,31.02,63.57,3.32
