YEAR,MO,DY,HR,Solar,Temperature,Humidity,Wind,Datetime,TempCorrection,PV_Power_W,PV_Energy_Wh,Pump_Wh,Fan_Wh,LED_Wh,Load_Wh,Charge_Wh,Discharge_Wh,SOC,Rule_Decision,Rule_Efficiency,Adaptive_Score,Adaptive_Decision,Adaptive_Efficiency,Improvement_%,Rule_Eff_Run,Adaptive_Eff_Run,SOC_Run
2024,1,1,0,0.0,25.17,96.57,2.21,2024-01-01 00:00:00,0.999235,0.0,0.0,1.8,0.0,24.0,25.8,0.0,27.16,88.66,Battery Mode,0.0,58.89,Priority Pump,0.0,0.0,0.0,0.0,88.90453158144344
2024,1,1,1,0.0,25.12,96.36,2.23,2024-01-01 01:00:00,0.99946,0.0,0.0,1.8,0.0,24.0,25.8,0.0,27.16,77.33,Battery Mode,0.0,54.33,Priority Pump,0.0,0.0,0.0,0.0,77.54328250838057
2024,1,1,2,0.0,25.05,96.29,2.2,2024-01-01 02:00:00,0.999775,0.0,0.0,1.8,0.0,24.0,25.8,0.0,27.16,65.99,Battery Mode,0.0,49.76,Priority Pump,0.0,0.0,0.0,0.0,66.17200585449416
2024,1,1,3,0.0,24.98,96.15,2.12,2024-01-01 03:00:00,1.00009,0.0,0.0,1.8,0.0,24.0,25.8,0.0,27.16,54.66,Battery Mode,0.0,45.19,Priority Pump,0.0,0.0,0.0,0.0,54.81075678143129
2024,1,1,4,0.0,24.89,96.11,2.01,2024-01-01 04:00:00,1.000495,0.0,0.0,1.8,0.0,24.0,25.8,0.0,27.16,43.32,Battery Mode,0.0,40.61,Priority Pump,0.0,0.0,0.0,0.0,43.43948012754489
2024,1,1,5,6.88,24.88,96.04,1.86,2024-01-01 05:00:00,1.00054,0.6883715199999999,0.6883715199999999,1.8,0.0,24.0,25.8,0.0,26.43,32.29,Battery Mode,2.668106666666666,36.4,Emergency Mode,4.45,1.781893333333334,2.7049009562369224,4.480683666180445,32.379058479188004
2024,1,1,6,101.12,25.95,93.43,2.05,2024-01-01 06:00:00,0.995725,10.0687712,10.0687712,1.8,0.0,19.2,21.0,0.0,11.51,27.47,Emergency,47.94652952380953,38.8,Emergency Mode,79.91,31.963470476190466,48.60773190871714,80.4609959021302,27.545764522245108
2024,1,1,7,283.17,26.88,88.68,2.77,2024-01-01 07:00:00,0.99154,28.07743818,28.07743818,1.8,0.0,19.2,21.0,6.72,0.0,30.25,Normal Mode,100.0,45.84,Priority Pump,100.0,0.0,100.0,100.0,30.33343199118728
2024,1,1,8,473.83,27.87,83.23,3.15,2024-01-01 08:00:00,0.987085,46.77104855499999,46.77104855499999,1.8,2.4,14.4,18.6,26.76,0.0,41.39,Normal Mode,100.0,56.99,Priority Pump,100.0,0.0,100.0,100.0,41.504157028603025
2024,1,1,9,662.58,28.84,77.85,3.0,2024-01-01 09:00:00,0.98272,65.11306176000001,65.11306176000001,3.6,2.4,7.2,13.2,49.32,0.0,61.91,Normal Mode,100.0,71.58,Adaptive Saving,100.0,0.0,100.0,100.0,62.0807528784927
