YEAR,MO,DY,HR,Solar,Temperature,Humidity,Wind,Datetime,TempCorrection,PV_Power_W,PV_Energy_Wh
2024,1,1,0,0.0,25.17,96.57,2.21,2024-01-01 00:00:00,0.999235,0.0,0.0
2024,1,1,1,0.0,25.12,96.36,2.23,2024-01-01 01:00:00,0.99946,0.0,0.0
2024,1,1,2,0.0,25.05,96.29,2.2,2024-01-01 02:00:00,0.999775,0.0,0.0
2024,1,1,3,0.0,24.98,96.15,2.12,2024-01-01 03:00:00,1.00009,0.0,0.0
2024,1,1,4,0.0,24.89,96.11,2.01,2024-01-01 04:00:00,1.000495,0.0,0.0
2024,1,1,5,6.88,24.88,96.04,1.86,2024-01-01 05:00:00,1.00054,0.6883715199999999,0.6883715199999999
2024,1,1,6,101.12,25.95,93.43,2.05,2024-01-01 06:00:00,0.995725,10.0687712,10.0687712
2024,1,1,7,283.17,26.88,88.68,2.77,2024-01-01 07:00:00,0.99154,28.07743818,28.07743818
2024,1,1,8,473.83,27.87,83.23,3.15,2024-01-01 08:00:00,0.987085,46.77104855499999,46.77104855499999
2024,1,1,9,662.58,28.84,77.85,3.0,2024-01-01 09:00:00,0.98272,65.11306176000001,65.11306176000001
2024,1,1,10,758.7,29.48,74.65,2.87,2024-01-01 10:00:00,0.97984,74.3404608,74.3404608
2024,1,1,11,810.0,29.78,73.17,2.81,2024-01-01 11:00:00,0.97849,79.25769,79.25769
2024,1,1,12,731.8,29.9,72.75,2.72,2024-01-01 12:00:00,0.97795,71.566381,71.566381
2024,1,1,13,632.62,29.81,73.29,2.64,2024-01-01 13:00:00,0.978355,61.89269400999999,61.89269400999999
2024,1,1,14,509.15,29.55,74.69,2.59,2024-01-01 14:00:00,0.979525,49.872515375,49.872515375
2024,1,1,15,315.38,29.15,77.01,2.51,2024-01-01 15:00:00,0.981325,30.94902785,30.94902785
2024,1,1,16,153.25,28.57,81.67,2.13,2024-01-01 16:00:00,0.983935,15.078803875,15.078803875
2024,1,1,17,34.85,27.65,87.01,1.82,2024-01-01 17:00:00,0.988075,3.443441375,3.443441375
2024,1,1,18,0.0,26.7,92.93,1.56,2024-01-01 18:00:00,0.99235,0.0,0.0
2024,1,1,19,0.0,26.38,93.87,1.56,2024-01-01 19:00:00,0.99379,0.0,0.0
2024,1,1,20,0.0,26.13,94.44,1.51,2024-01-01 20:00:00,0.994915,0.0,0.0
2024,1,1,21,0.0,25.94,94.77,1.42,2024-01-01 21:00:00,0.99577,0.0,0.0
2024,1,1,22,0.0,25.79,94.61,1.31,2024-01-01 22:00:00,0.996445,0.0,0.0
2024,1,1,23,0.0,25.62,94.52,1.21,2024-01-01 23:00:00,0.99721,0.0,0.0
2024,1,2,0,0.0,25.37,95.12,1.2,2024-01-02 00:00:00,0.998335,0.0,0.0
2024,1,2,1,0.0,25.14,96.04,1.29,2024-01-02 01:00:00,0.99937,0.0,0.0
2024,1,2,2,0.0,24.97,96.46,1.37,2024-01-02 02:00:00,1.000135,0.0,0.0
2024,1,2,3,0.0,24.79,97.06,1.5,2024-01-02 03:00:00,1.000945,0.0,0.0
2024,1,2,4,0.0,24.63,97.55,1.61,2024-01-02 04:00:00,1.001665,0.0,0.0
2024,1,2,5,5.62,24.58,97.78,1.71,2024-01-02 05:00:00,1.00189,0.5630621800000001,0.5630621800000001
2024,1,2,6,87.75,25.58,95.62,1.92,2024-01-02 06:00:00,0.99739,8.752097249999998,8.752097249999998
2024,1,2,7,238.0,26.41,92.17,2.85,2024-01-02 07:00:00,0.993655,23.648988999999997,23.648988999999997
2024,1,2,8,403.0,27.14,88.72,3.25,2024-01-02 08:00:00,0.99037,39.911911,39.911911
2024,1,2,9,517.83,27.82,84.96,3.3,2024-01-02 09:00:00,0.98731,51.12587373,51.12587373
2024,1,2,10,652.62,28.3,82.01,3.08,2024-01-02 10:00:00,0.98515,64.2928593,64.2928593
2024,1,2,11,744.3,28.54,80.59,2.77,2024-01-02 11:00:00,0.98407,73.2443301,73.2443301
2024,1,2,12,770.35,28.74,79.29,2.64,2024-01-02 12:00:00,0.98317,75.73850095,75.73850095
2024,1,2,13,662.92,28.74,78.72,2.46,2024-01-02 13:00:00,0.98317,65.17630564,65.17630564
2024,1,2,14,546.03,28.61,78.89,2.17,2024-01-02 14:00:00,0.983755,53.71597426500001,53.71597426500001
2024,1,2,15,370.73,28.38,80.19,1.85,2024-01-02 15:00:00,0.98479,36.509119670000004,36.509119670000004
2024,1,2,16,184.23,27.9,84.13,1.49,2024-01-02 16:00:00,0.98695,18.18257985,18.18257985
2024,1,2,17,40.6,27.08,90.07,1.3,2024-01-02 17:00:00,0.99064,4.0219984,4.0219984
2024,1,2,18,0.0,26.3,91.66,1.38,2024-01-02 18:00:00,0.99415,0.0,0.0
2024,1,2,19,0.0,26.05,92.03,1.33,2024-01-02 19:00:00,0.995275,0.0,0.0
2024,1,2,20,0.0,25.9,92.02,1.24,2024-01-02 20:00:00,0.99595,0.0,0.0
2024,1,2,21,0.0,25.8,91.69,1.11,2024-01-02 21:00:00,0.9964,0.0,0.0
2024,1,2,22,0.0,25.73,91.22,0.95,2024-01-02 22:00:00,0.996715,0.0,0.0
2024,1,2,23,0.0,25.68,90.91,0.65,2024-01-02 23:00:00,0.99694,0.0,0.0
2024,1,3,0,0.0,25.59,91.31,0.33,2024-01-03 00:00:00,0.997345,0.0,0.0
2024,1,3,1,0.0,25.36,92.71,0.37,2024-01-03 01:00:00,0.99838,0.0,0.0
2024,1,3,2,0.0,25.22,93.59,0.38,2024-01-03 02:00:00,0.99901,0.0,0.0
2024,1,3,3,0.0,25.22,92.62,0.33,2024-01-03 03:00:00,0.99901,0.0,0.0
2024,1,3,4,0.0,25.16,93.07,0.42,2024-01-03 04:00:00,0.99928,0.0,0.0
2024,1,3,5,3.4,24.96,94.71,0.65,2024-01-03 05:00:00,1.00018,0.3400612,0.3400612
2024,1,3,6,99.0,25.73,94.28,0.86,2024-01-03 06:00:00,0.996715,9.8674785,9.8674785
2024,1,3,7,238.27,26.7,89.74,1.29,2024-01-03 07:00:00,0.99235,23.64472345,23.64472345
